id,name,text,trans,,,
0000000000000,プロデューサー,"——という感じで、
来月までのスケジュールを予定してる","——라는 느낌으로,
다음 달까지 스케쥴을 예정하고 있어",,,
2009006030010,果穂,ふんふん,흠 흠,,,
0000000000000,プロデューサー,"特に……この日は夕方前と夜とで
２つの撮影があるから、移動で忙しくなりそうだ","특히......이 날은 저녁 전과 밤으로
두개의 촬영이 있으니까,  이동으로 바빠질 것 같아 ",,,
2009006030020,果穂,"ふんふんふん……
あれ？","흠 흠 흠......
어라?",,,
2009006030030,果穂,"この時間から撮影だと、
学校終わってからで間に合うでしょうか……？","이 시간 부터 촬영이라면,
학교가 끝나고나서 시간에 맞출 수 있을까요......? ",,,
0000000000000,プロデューサー,ああ、その日は学校の近くまで迎えにいくから大丈夫だ,"물론, 그날은 학교 근처까지 마중나가니까 괜찮아 ",,,
2009006030040,果穂,"わかりました！　えっと……
『プロデューサーさんがお迎えにきます』……っと","알겠습니다! 그러면......
『프로듀서씨가 마중을 옵니다』......라고",,,
2009006030050,果穂,これでばっちりです！,이걸로 완벽해요!,,,
0000000000000,プロデューサー,仕事のこと、ちゃんとメモしてて偉いな,"일에 대한 것, 제대로 메모하고 있어서 훌륭하네 ",,,
2009006030060,果穂,えへへ、ありがとうございますっ！,"에헤헤, 고맙습니다!",,,
2009006030070,果穂,"スケジュール帳ってなんだか大人みたいで……
毎日使えるの、スッゴく楽しいです！","스케쥴 노트라는건 왠지 어른같아서......
매일 사용하는 거, 엄청 즐겁습니다!",,,
2009006030080,果穂,"毎日しっかりチェックして、
予定をちゃんと確認するんです！","매일 제대로 체크하고,
예정을 정확하게 확인할 거예요! ",,,
0000000000000,プロデューサー,"なるほど、果穂はしっかり者だな
……その手帳、自分でカスタマイズできるやつか？","과연, 카호는 착실한 사람이구나
.....그 수첩, 스스로 커스터마이즈 가능한 걸까?",,,
2009006030090,果穂,"はい！
カレンダーとかノートとか、自分で選んで入れられるんです","네!
달력이라던가 노트라던가, 스스로 선택해서 넣을 수 있어요",,,
