ja,zh
あさひ、今週は休みにしよう\r\nそろそろ研究とかしたいんじゃないか？,아사히、이번 주는 휴일로 하자\r\n슬슬 연구라든지 하고 싶은 것이 아닌가?
プロデューサーさん、それを見抜くとはさすがっす！\r\n色々研究してくるっすよ！,프로듀서씨、그것을 간파하다니 과연임니다! \r\n여러가지 연구해 올 거에요!
昇格ライン,승격 라인
残留ライン,잔류 라인
週,주
審査員,심사원
プロデュースアイテム,프로듀스 아이템
まとめて消費した数に応じて獲得マニーUP!!,총 소비한 수에 따라 획득 머니 UP!!
フェス参加権を　　消費します,페스  참가권을　　  소비합니다
笑顔が固いなぁ,미소가 딱딱하구나
衣装が乱れてる\nしっかりなさい,의상이 흐트러졌어\n확실히 하세요
ひゅーっ！\n衣装顔負け！,휴우! \n의상이 무색해!
良い顔です\n歌を楽んでいる,좋은 얼굴입니다\n노래를 즐기고 있다
動きのキレがいまいちだな,움직이는 태가 별로다
動きがかたい\n柔軟したの？,움직임이 딱딱하다\n몸풀었어?
いいねえ\n心にくるぜ！, 좋구나\n마음에 든다!
もっと声出してもらわないと,좀 더 소리를 내지 않으면
歌詞が違う……\nがっかりです,가사가 다르다……\n실망입니다
良い顔です\n歌を楽んでいる,좋은 얼굴입니다\n노래를 즐기고 있다
それじゃダメ\n可愛くないわ,그러면 안돼\n사랑스럽지 않아요
新しい表現も見せて欲しいですね,새로운 표현도 보였으면 좋겠네요
いい顔してる\nドキドキするわ,좋은 얼굴이네\n두근두근하다
センターのボーカル、良いですね,센터의 보컬、좋네요
センターのダンス、イイねぇ！,센터의 댄스、좋다!
ビックリだ……\nすごくウマい,놀랍다……\n굉장히 능숙하다
空っぽですね\n何も感じません,텅 비네요\n아무것도 느껴지지 않습니다
あ、ミスったね\nごまかせないよ,아、미스했군요\n속일 수 없어요
練習量を感じる\n……完璧です,연습량을 느끼는 \n…… 완벽합니다
音程が……\nダメですね,음정이……\n안되네요
めちゃくちゃ！\nリズムが全然！,엉망진창! \n리듬이 전혀!
難易度ボーナス,난이도 보너스
特訓4回目で解放,특훈 4회째로 해방
特訓3回目で解放,특훈 3회째로 해방
特訓2回目で解放,특훈 2회째로 해방
特訓1回目で解放,특훈 1회째로 해방
同じ効果のプロデュースアイテムを複数持ち込む\nことはできません,같은 효과의 프로듀스 아이템을 복수 반입하는\n것은 할 수 없습니다
アイテムを\n選択していません,아이템을 선택하고\n있지 않습니다
レッスンやお仕事、オーディションを通してアイドルをプロデュースできます。ファンを集めて各シーズン目標を達成し、W.I.N.G.優勝を目指しましょう！,레슨이나 영업、오디션을 통해 아이돌을 프로듀스할 수 있습니다. 팬을 모아 각 시즌 목표를 달성해、W.I.N.G. 우승을 목표로 합시다!
ファン感謝祭に向けてアイデアを集めることで、アイドルを成長させることができます。仲間と協力して最高のパフォーマンスを作り、ファン感謝祭を成功させましょう！,팬 감사제에 향하여 아이디어를 모으는 것으로、아이돌을 성장시킬 수가 있습니다. 동료와 협력해 최고의 퍼포먼스를 만들어、팬 감사제를 성공시킵시다!
W.I.N.G.編シーズン２をクリアしフェスアイドルを誕生させると解放,W.I.N.G. 편 시즌 2를 클리어 해 페스아이돌을 탄생시키면 해방
プロデュース選択,프로듀스 선택
ユニット編成,유닛 편성
アイテム選択,아이템 선택
最大100件一度に受け取ることが可能です。\r達成済みのミッションは未達成のミッションの下部に表示されます。,최대 100건을 한 번에 받는 것이 가능합니다\r달성이 끝난 미션은 미달성 미션의 하단에 표시됩니다
最大100件一度に受け取ることが可能です\r達成済みのミッションは未達成のミッションの下部に表示されます,최대 100건을 한 번에 받는 것이 가능합니다\r달성이 끝난 미션은 미달성 미션의 하단에 표시됩니다
お手製差し入れを作成しました,수제 반입을 작성했습니다
営業完了まで,영업 완료까지
お手製差し入れ,수제 반입
未選択,미선택
TV出演,TV출연
ミニライブ,미니 라이브
雑誌インタビュー,잡지 인터뷰
ミッションはすべて達成しました,미션은 모두 달성했습니다
所持枠を超えているものはプレゼントボックスに送られました,소지범위를 넘는 것은 선물 박스에 보내졌습니다　　　　　　
ミニライブでは、短い時間で多くの経験値を獲得できます♪\nただし、営業完了後にもらえるアイテムも少なめです,미니 라이브에서는、짧은 시간에 많은 경험치를 획득할 수 있습니다♪\n다만、영업 완료 후에 받을 수 있는 아이템은 적습니다
TV出演では、たくさんファンを増やすことができます♪\n経験値もためられますし、バランスのいい営業先だと言えますね～,TV출연에서는、많은 팬을 늘릴 수가 있습니다♪\n경험치도 모아 둘 수 있고、밸런스가 좋은 영업처라고 말할 수 있네요~
雑誌インタビューでは、他より多めにアイテムをもらうことができます♪\nですが、その分営業完了までの時間も長めになっています～,잡지 인터뷰에서는、보다 넉넉하게 아이템을 받을 수 있습니다♪\n다만、그 만큼 영업 완료까지의 시간도 길게 되어 있습니다~
以下の内容で営業を開始しますか？,이하의 내용으로 영업을 개시합니까?
アイテムを\r選択していません,아이템을\r선택하고 있지 않습니다
ラジオの収録,라디오 수록
トークイベントに出演,토크 이벤트에 출연
雑誌の撮影,잡지의 촬영
ボーカルレッスン,보컬 레슨
ダンスレッスン,댄스 레슨
ビジュアルレッスン,비주얼 레슨
そろそろお休みを\nあげた方がいいですよ～,슬슬 휴가를\n주는 것이 좋아요~
アイドルの体力が少ないとトラブルが発生しやすく\nなりますので、こまめに休ませてあげましょう,아이돌의 체력이 적으면 트러블이 발생하기 \n쉽기 때문에、세세하게 쉬게 해 줍시다
今日は休みにしようか\n疲れを取って、また頑張ろう,오늘은 휴일로 할까\n피로를 회복하고、또 노력하자
本当ですかぁ？　ありがとーございまぁす\nお風呂に浸かってゆっくりしますね,정말입니까? 감사합니다\n느긋하게 목욕해야지
オーディションへ行きませんか？,오디션에 가지 않습니까?
「流行の1位」と「育てたアイドルのタイプ」が\n一致した時はオーディション合格のチャンスです,「유행 1위」와 「프로듀스중인 아이돌의 타입」이\n일치했을 때는 오디션 합격의 찬스입니다
選択されたスキルは忘れてしまいます。\nよろしいですか？,선택된 스킬은 잊어집니다. \n괜찮습니까?
忘れたスキルは再度習得できません,잊은 스킬은 재차 습득할 수 없습니다
3人以上のアイドルと絆を赤ゲージにする\nシーズン3最終週のみ挑戦可能,3명 이상의 아이돌과 인연을 빨강 게이지로 한다\n시즌3 최종 주에만 도전 가능
アイドルランクC以上,아이돌 랭크 C이상
アイドルランクF以上,아이돌 랭크 F이상
アイドルランクS以上,아이돌 랭크 S이상
アイドルランクB以上,아이돌 랭크 B이상
アイドルランクA以上,아이돌 랭크 A이상
お待たせしました~結果の発表です。,오래 기다리셨습니다~결과의 발표입니다.
メンタル500以上\nシーズン4最終週のみ挑戦可能,멘탈 500이상\n시즌4 최종 주에만 도전 가능
ミッション達成,미션 달성
以下のミッションを達成しました。\rミッションページで以下の報酬を受け取りましょう。,이하의 미션을 달성했습니다. \r미션 페이지로 이하의 보수를 받읍시다.
購入上限,구입 상한
所持チケット一覧,소지 티켓 일람
アイテムがありません。,아이템이 없습니다.
ログインボーナスのプレゼントです,로그인 보너스의 선물입니다
以下のプレゼントを受け取りました,이하의 선물을 받았습니다
