ja,zh
合格ですかっ、ありがとうございますっ！,합격입니까, 감사합니닷!
うふふっ、どの子も可愛かったけど……\n今回の合格者は──,우후훗、어느 아이도 사랑스러웠지만……\n이번 합격자는─
う～ん……なんでなんだろ,응…… 어째서일까
合格者の方、おめでとうございます\nそれ以外の方、お疲れさまでした,합격자 분、축하합니다 \n그외 분들도、수고하셨습니다
合格の子、素敵だったわよ\nアタシ、気にいっちゃった。どんどん活躍してってね,합격한 애、멋졌어\n나、마음에 들었다. 더더 활약하고 싶어
おめでとうございます。ランクアップです\nまたひとつ、夢に近づきましたね！,축하합니다. 랭크업입니다\n 또 하나、꿈에 가까워졌어요!
プロデューサーさん、シーズン終了です！\nその見事な手腕、来シーズンも見せてくださいね！,프로듀서씨、시즌 종료입니다! \n그 훌륭한 수완、다음 시즌도 보여주세요!
今日は休みにしようか\n疲れを取って、また頑張ろう,오늘은 휴일로 할까\n피로를 회복하고、또 노력하자
それでは発表します\n今回の合格者は──,그러면 발표합니다 \n이번 합격자는─
合格者の方、おめでとうございます！\n本番まで、しばらくお待ちください,합격자 분、축하합니다! \n실전까지、당분간 기다려 주세요
う～ん、みんなビシッとキマってたが\n今回合格したのは──,응、모두 멋지게 보여줬지만\n이번 합격한 사람은─
合格した人、おめでとう！\nよかったよ。本番もその調子でやっちゃって！,합격한 사람、축하합니다! \n다행이네요. 실전도 그 상태로 해 버려요!
お待たせしました。審査が終了しましたので、\n『W.I.N.G.』準決勝の結果発表をさせていただきます,오래 기다리셨습니다. 심사가 종료했으므로、\n『W.I.N.G.』준결승의 결과 발표를 하겠습니다
準決勝合格者の皆さま、おめでとうございます\n次は決勝です。ぜひ、今までで最高の姿を見せてください,준결승 합격자 여러분、축하합니다 \n다음은 결승입니다. 꼭、지금까지의 최고의 모습을 보여 주세요
次はぁ、ちょっとだけ本気だしちゃいますねー,다음은、조금 진심을 낼거예요-
お待たせしました。審査が出そろいましたので、\n『W.I.N.G.』決勝の結果発表をさせていただきます,오래 기다리셨습니다. 심사원이 다 모였으므로、\n『W.I.N.G.』결승의 결과 발표를 하겠습니다
優勝者の方、おめでとうございます\nその他の方々は惜しくも敗退です。お疲れさまでした,우승자분、축하합니다 \n그 외 분들은 아깝게도 탈락입니다. 수고하셨습니다
もう少し真面目にレッスンすればよかったです……,좀 더 성실하게 레슨 하면 좋았을 것입니다……
プロデュースお疲れ様でした\nこの後は、フェスへ参加してみましょう！,프로듀스 수고 하셨습니다\n 이 뒤는、페스에 참가해 봅시다!
プロデューサーさん、シーズン２が終了しましたよ\nみなさんと一緒に、リハーサルも頑張ってくださいね～,프로듀서씨、시즌 2가 종료했어요\n여러분과 함께、리허설도 노력해 주세요~
ふふっ……鳩さんは、\nふわふわ～っとお日様の\nいい匂いがするんですよっ,후훗…… 비둘기씨는、\n둥실둥실~과 햇님의 \n좋은 냄새가 납니다
次の夢も、その次の夢も\nずっとプロデューサーさんと\n一緒に叶えていきたいです……,다음의 꿈도、그 다음의 꿈도\n쭉 프로듀서씨와\n함께 실현해 가고 싶습니다……
ば、バレンタインなので……\nあの……っ、これをプロデューサーさんに……っ,바、발렌타인인 것으로……\n그……、이것을 프로듀서씨에게……
キラキラのステージ\nファンのみなさんと一緒に、力いっぱい駆けていきますっ,반짝반짝의 스테이지\n팬의 여러분과 함께、힘껏 달려 갑니닷
もうちょっと……その……\n近づいて歩きませんか……？,좀 더…… 그……\n가까이서 걷지 않겠습니까……?
ここまでの成果、ファンの\nみなさんに届けてきます,여기까지의 성과、팬\n여러분께 전해 드리겠습니다
プロデューサーも、こっちで\n一緒に雪遊び……しませんか？,프로듀서도、이쪽에서\n함께 눈놀이…… 하지 않겠습니까?
蒼い光に照らされて、私はどこ\nまでも輝いていきます。プロデ\nューサー、見ててください,푸른 빛에 비추어져、나는 어디\n까지라도 빛나 갑니다. \n프로듀서、보고 있어 주세요
